gene	T273_b16_Adr_PCW18	T318_b16_Adr_PCW21	T390_b16_Adr_PCW13	T40_b16_Adr_PCW17
ALX1	5	4	0	2
ALX3	4	0	0	2
ALX4	11	11	3	5
ALYREF	8	20	2	3
AMACR	1	3	2	0
AMBN	5	4	0	4
AMBP	2	7	0	5
AMBRA1	3235	5773	163	2067
AMD1	382	707	41	283
AMDHD1	1617	1052	38	205
AMDHD2	38	46	13	20
AMELY	37	67	6	34
AMER1	23	59	1	54
AMER2	4	0	0	2
AMER3	0	0	0	2
AMFR	1128	3097	77	447
AMH	0	6	0	3
AMHR2	310	238	3	273
AMIGO1	2	3	0	5
AMIGO2	91	358	3	21
AMMECR1	904	645	79	472
AMMECR1L	113	209	21	114
AMN	4	13	0	7
AMN1	203	313	32	252
AMN1-AS1	5	8	0	4
AMOT	42	38	9	75
AMOTL1	246	754	96	595
AMOTL2	10	22	9	15
AMPD1	15	21	2	13
AMPD2	66	198	16	70
AMPD2-AS1	0	2	0	0
AMPD3	620	1467	29	263
AMPH	91	117	28	247
AMY1C	0	2	0	0
AMY2B	64	119	10	89
AMZ1	71	175	14	56
AMZ2	89	111	30	146
ANAPC1	455	471	54	478
ANAPC10	2	2	0	0
ANAPC11	30	46	5	34
ANAPC13	24	16	5	34
ANAPC15	3	3	2	6
ANAPC16	726	923	78	698
ANAPC1P2	71	86	12	127
ANAPC2	138	209	9	102
ANAPC4	312	428	44	380
ANAPC5	602	881	48	701
ANAPC7	130	165	10	158
ANGEL1	262	196	11	245
ANGEL2	251	269	32	265
ANGPT1	519	296	37	395
ANGPT2	72	90	19	61
ANGPT4	14	21	0	15
ANGPTL1	52	57	1	62
ANGPTL2	5	19	6	8
ANGPTL3	2	3	0	0
ANGPTL4	9	20	3	6
ANGPTL5	33	59	2	31
ANGPTL6	1	4	2	6
ANGPTL7	0	1	0	0
ANGPTL8	4	10	1	4
ANHX	2	0	0	1
ANK1	100	318	26	141
ANK2	2226	2251	708	2275
ANK2-AS1	38	58	19	36
ANK3	1691	6393	394	3023
ANK3-DT	0	1	0	3
ANKAR	295	313	53	497
ANKDD1A	164	544	19	157
ANKDD1B	209	285	25	194
ANKEF1	35	28	3	45
ANKFN1	250	208	109	376
ANKFY1	609	717	90	638
ANKH	165	208	61	238
ANKH-AS1	12	10	0	5
ANKHD1	2	1	0	3
ANKHD1-DT	87	175	13	118
ANKHD1-EIF4EBP3	103	123	10	92
ANKIB1	1741	1996	153	1372
ANKK1	0	5	0	3
ANKLE1	2	3	3	10
ANKLE2	577	919	49	410
ANKMY1	263	423	54	389
ANKMY2	351	394	23	326
ANKRA2	337	479	15	274
ANKRD1	0	3	0	1
ANKRD10	657	1424	128	870
ANKRD11	2358	5711	170	1701
ANKRD12	567	1375	101	590
ANKRD13A	339	403	18	239
ANKRD13C	994	3170	65	749
ANKRD13D	76	145	10	133
ANKRD16	90	249	7	122
ANKRD17	4776	9015	361	3557
ANKRD17-DT	396	411	47	662
ANKRD18A	30	64	12	39
ANKRD18B	9	13	1	15
ANKRD2	7	6	0	5
ANKRD20A1	29	50	6	32
ANKRD22	4	5	0	5
ANKRD23	88	142	5	81
ANKRD24	135	250	4	122
ANKRD26	1069	2092	112	1463
ANKRD27	378	608	30	263
ANKRD27-AS1	6	9	0	4
ANKRD28	1833	1279	135	1082
ANKRD29	81	140	27	75
ANKRD30A	10	7	1	8
ANKRD30B	240	675	16	369
ANKRD30BL	79	265	29	160
ANKRD31	51	88	8	60
ANKRD33B	48	91	6	60
